-- v TEXTURE
295.50, 42.73, 296.93, 41.41, 297.65, 39.68, 297.65, 37.55
297.65, 37.55, 297.65, 36.02, 297.30, 34.74, 296.60, 33.73
296.60, 33.73, 295.90, 32.71, 294.97, 31.93, 293.80, 31.40
293.80, 31.40, 292.63, 30.87, 291.37, 30.60, 290.00, 30.60
-- 9 TEXTURE
309.45, 39.40, 309.45, 39.40, 313.80, 39.40, 313.80, 39.40
313.80, 39.40, 314.13, 40.93, 314.74, 42.20, 315.63, 43.20
315.63, 43.20, 316.51, 44.20, 317.85, 44.70, 319.65, 44.70
319.65, 44.70, 322.32, 44.70, 324.37, 43.43, 325.80, 40.88
325.80, 40.88, 327.23, 38.33, 327.95, 34.82, 327.95, 30.35
327.95, 30.35, 327.18, 31.72, 326.02, 32.83, 324.47, 33.70
324.47, 33.70, 322.92, 34.57, 321.17, 35.00, 319.20, 35.00
319.20, 35.00, 316.97, 35.00, 315.07, 34.47, 313.52, 33.42
313.52, 33.42, 311.97, 32.37, 310.79, 30.99, 309.97, 29.27
309.97, 29.27, 309.16, 27.56, 308.75, 25.73, 308.75, 23.80
308.75, 23.80, 308.75, 21.70, 309.18, 19.73, 310.05, 17.90
310.05, 17.90, 310.92, 16.07, 312.20, 14.58, 313.90, 13.45
313.90, 13.45, 315.60, 12.32, 317.68, 11.75, 320.15, 11.75
